"","state_fips_code","county_fips_code","naics","est","year"
"1","1","1","71394/",8,2018
"2","1","1","713940",8,2018
"3","1","3","61162/",7,2018
"4","1","3","611620",7,2018
"5","1","3","71391/",4,2018
"6","1","3","713910",4,2018
"7","1","3","71394/",26,2018
"8","1","3","713940",26,2018
"9","1","3","71399/",24,2018
"10","1","3","713990",24,2018
"11","1","3","7212//",12,2018
"12","1","3","72121/",12,2018
"13","1","3","721211",10,2018
"14","1","5","7212//",3,2018
"15","1","5","72121/",3,2018
"16","1","9","71394/",4,2018
"17","1","9","713940",4,2018
"18","1","15","61162/",3,2018
"19","1","15","611620",3,2018
"20","1","15","71391/",4,2018
"21","1","15","713910",4,2018
"22","1","15","71394/",5,2018
"23","1","15","713940",5,2018
"24","1","31","71394/",3,2018
"25","1","31","713940",3,2018
"26","1","31","7212//",3,2018
"27","1","31","72121/",3,2018
"28","1","31","721214",3,2018
"29","1","33","71394/",6,2018
"30","1","33","713940",6,2018
"31","1","39","71391/",3,2018
"32","1","39","713910",3,2018
"33","1","39","71394/",4,2018
"34","1","39","713940",4,2018
"35","1","43","61162/",4,2018
"36","1","43","611620",4,2018
"37","1","43","71391/",3,2018
"38","1","43","713910",3,2018
"39","1","43","71394/",5,2018
"40","1","43","713940",5,2018
"41","1","49","71394/",3,2018
"42","1","49","713940",3,2018
"43","1","49","7212//",7,2018
"44","1","49","72121/",7,2018
"45","1","49","721214",7,2018
"46","1","51","71394/",7,2018
"47","1","51","713940",7,2018
"48","1","55","71391/",3,2018
"49","1","55","713910",3,2018
"50","1","55","71394/",10,2018
"51","1","55","713940",10,2018
"52","1","59","71394/",3,2018
"53","1","59","713940",3,2018
"54","1","69","61162/",8,2018
"55","1","69","611620",8,2018
"56","1","69","71391/",4,2018
"57","1","69","713910",4,2018
"58","1","69","71394/",13,2018
"59","1","69","713940",13,2018
"60","1","69","71399/",5,2018
"61","1","69","713990",5,2018
"62","1","71","7212//",5,2018
"63","1","71","72121/",5,2018
"64","1","71","721211",3,2018
"65","1","73","61162/",28,2018
"66","1","73","611620",28,2018
"67","1","73","71213/",3,2018
"68","1","73","712130",3,2018
"69","1","73","71391/",15,2018
"70","1","73","713910",15,2018
"71","1","73","71394/",87,2018
"72","1","73","713940",87,2018
"73","1","73","71395/",4,2018
"74","1","73","713950",4,2018
"75","1","73","71399/",32,2018
"76","1","73","713990",32,2018
"77","1","77","61162/",3,2018
"78","1","77","611620",3,2018
"79","1","77","71394/",8,2018
"80","1","77","713940",8,2018
"81","1","77","71399/",5,2018
"82","1","77","713990",5,2018
"83","1","79","71394/",3,2018
"84","1","79","713940",3,2018
"85","1","81","61162/",10,2018
"86","1","81","611620",10,2018
"87","1","81","71391/",4,2018
"88","1","81","713910",4,2018
"89","1","81","71394/",9,2018
"90","1","81","713940",9,2018
"91","1","81","71399/",4,2018
"92","1","81","713990",4,2018
"93","1","81","7212//",4,2018
"94","1","81","72121/",4,2018
"95","1","81","721211",4,2018
"96","1","83","61162/",3,2018
"97","1","83","611620",3,2018
"98","1","83","71394/",6,2018
"99","1","83","713940",6,2018
"100","1","89","61162/",26,2018
"101","1","89","611620",26,2018
"102","1","89","71391/",6,2018
"103","1","89","713910",6,2018
"104","1","89","71394/",57,2018
"105","1","89","713940",57,2018
"106","1","89","71395/",3,2018
"107","1","89","713950",3,2018
"108","1","89","71399/",19,2018
"109","1","89","713990",19,2018
"110","1","93","71394/",3,2018
"111","1","93","713940",3,2018
"112","1","95","61162/",3,2018
"113","1","95","611620",3,2018
"114","1","95","71391/",3,2018
"115","1","95","713910",3,2018
"116","1","95","71394/",5,2018
"117","1","95","713940",5,2018
"118","1","95","71399/",5,2018
"119","1","95","713990",5,2018
"120","1","95","7212//",7,2018
"121","1","95","72121/",7,2018
"122","1","95","721211",6,2018
"123","1","97","61162/",12,2018
"124","1","97","611620",12,2018
"125","1","97","71391/",4,2018
"126","1","97","713910",4,2018
"127","1","97","71394/",31,2018
"128","1","97","713940",31,2018
"129","1","97","71399/",18,2018
"130","1","97","713990",18,2018
"131","1","97","7212//",3,2018
"132","1","97","72121/",3,2018
"133","1","101","61162/",10,2018
"134","1","101","611620",10,2018
"135","1","101","71391/",5,2018
"136","1","101","713910",5,2018
"137","1","101","71394/",24,2018
"138","1","101","713940",24,2018
"139","1","101","71399/",9,2018
"140","1","101","713990",9,2018
"141","1","101","7212//",3,2018
"142","1","101","72121/",3,2018
"143","1","101","721211",3,2018
"144","1","103","61162/",4,2018
"145","1","103","611620",4,2018
"146","1","103","71391/",5,2018
"147","1","103","713910",5,2018
"148","1","103","71394/",6,2018
"149","1","103","713940",6,2018
"150","1","103","71399/",6,2018
"151","1","103","713990",6,2018
"152","1","109","71394/",3,2018
"153","1","109","713940",3,2018
"154","1","113","71394/",3,2018
"155","1","113","713940",3,2018
"156","1","115","71394/",5,2018
"157","1","115","713940",5,2018
"158","1","117","61162/",10,2018
"159","1","117","611620",10,2018
"160","1","117","71391/",6,2018
"161","1","117","713910",6,2018
"162","1","117","71394/",32,2018
"163","1","117","713940",32,2018
"164","1","117","71399/",12,2018
"165","1","117","713990",12,2018
"166","1","117","7212//",5,2018
"167","1","117","72121/",5,2018
"168","1","117","721211",3,2018
"169","1","121","71391/",3,2018
"170","1","121","713910",3,2018
"171","1","121","71394/",3,2018
"172","1","121","713940",3,2018
"173","1","121","7212//",5,2018
"174","1","121","72121/",5,2018
"175","1","121","721214",3,2018
"176","1","125","61162/",10,2018
"177","1","125","611620",10,2018
"178","1","125","71391/",3,2018
"179","1","125","713910",3,2018
"180","1","125","71394/",18,2018
"181","1","125","713940",18,2018
"182","1","125","71399/",5,2018
"183","1","125","713990",5,2018
"184","1","127","71394/",5,2018
"185","1","127","713940",5,2018
"186","1","133","71394/",3,2018
"187","1","133","713940",3,2018
"188","2","20","61162/",22,2018
"189","2","20","611620",22,2018
"190","2","20","71213/",4,2018
"191","2","20","712130",4,2018
"192","2","20","71394/",38,2018
"193","2","20","713940",38,2018
"194","2","20","71395/",3,2018
"195","2","20","713950",3,2018
"196","2","20","71399/",53,2018
"197","2","20","713990",53,2018
"198","2","20","7212//",19,2018
"199","2","20","72121/",19,2018
"200","2","20","721211",3,2018
"201","2","20","721214",16,2018
"202","2","60","71399/",5,2018
"203","2","60","713990",5,2018
"204","2","60","7212//",9,2018
"205","2","60","72121/",9,2018
"206","2","60","721214",9,2018
"207","2","68","71399/",9,2018
"208","2","68","713990",9,2018
"209","2","68","7212//",5,2018
"210","2","68","72121/",5,2018
"211","2","68","721211",3,2018
"212","2","70","71399/",6,2018
"213","2","70","713990",6,2018
"214","2","70","7212//",3,2018
"215","2","70","72121/",3,2018
"216","2","70","721214",3,2018
"217","2","90","61162/",6,2018
"218","2","90","611620",6,2018
"219","2","90","71394/",13,2018
"220","2","90","713940",13,2018
"221","2","90","71399/",24,2018
"222","2","90","713990",24,2018
"223","2","100","71399/",9,2018
"224","2","100","713990",9,2018
"225","2","100","7212//",3,2018
