"","state_fips_code","county_fips_code","x5_digit_fips_code","state","county_name","year","county_crime","inactivity","median_house_income","pop","rural","rec_resource"
"1","","","00000","US","United States",2016,392.04093974,NA,53657,NA,NA,0.8392108682
"2","1","","01000","AL","Alabama",2016,417.96887253,0.2931867296,42917,4849377,0.409631829,0.6280669058
"3","1","1","01001","AL","Autauga County",2016,253.64461706,0.287,54366,55395,0.4200216232,0.708214986
"4","1","3","01003","AL","Baldwin County",2016,220.66510634,0.252,49626,200111,0.4227909911,0.721685458
"5","1","5","01005","AL","Barbour County",2016,146.8885763,0.329,34971,26887,0.677896347,0.4526714499
"6","1","7","01007","AL","Bibb County",2016,235.95211046,0.332,39546,22506,0.6835260746,0.3283875191
"7","1","9","01009","AL","Blount County",2016,219.03434424,0.285,45567,57719,0.8995150204,0.2550853076
"8","1","11","01011","AL","Bullock County",2016,283.35085234,0.331,26580,10764,0.5137438153,0.231995602
"9","1","13","01013","AL","Butler County",2016,483.03787782,0.344,32512,20296,0.7123215735,0.4600658806
"10","1","15","01015","AL","Calhoun County",2016,504.5156397,0.336,41123,115916,0.3369682556,0.5928549742
"11","1","17","01017","AL","Chambers County",2016,553.4591195,0.348,34116,34076,0.4914803449,0.611632325
"12","1","19","01019","AL","Cherokee County",2016,374.36913052,0.31,38013,26037,0.8573627304,0.3294855516
"13","1","21","01021","AL","Chilton County",2016,407.39699165,0.32,41450,43931,0.8674472424,0.3232820842
"14","1","23","01023","AL","Choctaw County",2016,110.93580515,0.338,35049,13323,1,0.2010967602
"15","1","25","01025","AL","Clarke County",2016,464.11856474,0.302,36620,24945,0.7598033523,0.381411373
"16","1","27","01027","AL","Clay County",2016,313.03017993,0.362,35940,13552,1,0.2126040769
"17","1","29","01029","AL","Cleburne County",2016,224.32785348,0.332,40418,15080,1,0.4015495592
"18","1","31","01031","AL","Coffee County",2016,363.90150134,0.294,46931,50909,0.4719508289,0.7079362537
"19","1","33","01033","AL","Colbert County",2016,372.90432044,0.297,43057,54543,0.4389468656,0.4425295804
"20","1","35","01035","AL","Conecuh County",2016,612.84375081,0.335,29101,12670,0.8094950106,0.0012851527
"21","1","37","01037","AL","Coosa County",2016,290.91692706,0.308,34679,10886,1,0.2448219083
"22","1","39","01039","AL","Covington County",2016,242.1817416,0.355,36149,37914,0.6965179399,0.5115053621
"23","1","41","01041","AL","Crenshaw County",2016,441.5302858,0.316,34445,13977,1,0.3558895441
"24","1","43","01043","AL","Cullman County",2016,201.19144998,0.284,39922,81289,0.7323955924,0.381339701
"25","1","45","01045","AL","Dale County",2016,395.76432401,0.278,41940,49484,0.5088853953,0.4796720463
"26","1","47","01047","AL","Dallas County",2016,781.8388057,0.342,26602,41711,0.4563897764,0.5883386581
"27","1","49","01049","AL","DeKalb County",2016,243.42882873,0.324,36241,71065,0.901306445,0.4024806986
"28","1","51","01051","AL","Elmore County",2016,178.7265317,0.297,54298,80977,0.5418836614,0.6806299888
"29","1","53","01053","AL","Escambia County",2016,564.87355523,0.334,37077,37733,0.6351157389,0.5611576503
"30","1","55","01055","AL","Etowah County",2016,497.87069047,0.325,39904,103531,0.3748348176,0.4396916595
"31","1","57","01057","AL","Fayette County",2016,173.67964001,0.305,35664,16874,0.8023316513,0.2744040369
"32","1","59","01059","AL","Franklin County",2016,380.01600067,0.348,33881,31601,0.7036651527,0.5883800151
"33","1","61","01061","AL","Geneva County",2016,320.10719869,0.305,34425,26712,0.8964165733,0.2742814483
"34","1","63","01063","AL","Greene County",2016,1113.408621,0.331,26504,8553,1,0.1515754561
"35","1","65","01065","AL","Hale County",2016,169.63799891,0.353,33315,15184,0.8916878173,0.5830583756
"36","1","67","01067","AL","Henry County",2016,318.19663018,0.288,39930,17190,0.8775286094,0.3151658768
