"","year","state","state_name","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft"
"1",2018,"AK","Alaska",735139,6555,47,896,4400,24345,3985,16364,3996
"2",2018,"AL","Alabama",4887681,25567,383,4047,19105,138702,29101,96328,13273
"3",2018,"AR","Arkansas",3009733,16904,222,1593,12748,89177,19520,62350,7307
"4",2018,"AZ","Arizona",7158024,34053,383,6509,23556,192730,31787,141789,19154
"5",2018,"CA","California",39461588,176604,1739,54328,105031,941644,164645,621779,155220
"6",2018,"CO","Colorado",5691287,22851,215,3781,14527,154292,21757,110518,22017
"7",2018,"CT","Connecticut",3571520,7485,86,2205,4321,59356,7983,44181,7192
"8",2018,"DC","District of Columbia",701547,6995,160,2415,3970,30726,1788,26345,2593
"9",2018,"DE","Delaware",965479,4079,46,861,2838,22405,3154,17780,1471
"10",2018,"FL","Florida",21244317,81980,1107,16884,55551,486017,71933,372919,41165
"11",2018,"GA","Georgia",10511131,35619,647,8499,23675,277803,46816,205631,25356
"12",2018,"HI","Hawaii",1420593,3622,40,951,1922,41027,5709,29600,5718
"13",2018,"IA","Iowa",3148618,8303,70,989,6118,57024,12433,39498,5093
"14",2018,"ID","Idaho",1750536,4196,34,195,3040,25822,4990,18876,1956
"15",2018,"IL","Illinois",12723071,52343,902,14251,31084,246679,39317,187517,19845
"16",2018,"IN","Indiana",6695497,25009,418,5737,16368,146948,25894,105861,15193
"17",2018,"KS","Kansas",2911359,12861,122,1420,9655,77449,12792,56726,7931
"18",2018,"KY","Kentucky",4461153,9719,250,2469,5125,89235,17462,61313,10460
"19",2018,"LA","Louisiana",4659690,25314,533,4600,18076,152996,31291,110066,11639
"20",2018,"MA","Massachusetts",6882635,23424,138,4084,16737,87658,14095,66968,6595
"21",2018,"MD","Maryland",6035802,28330,491,9716,16132,122945,18910,91887,12148
"22",2018,"ME","Maine",1339057,1500,23,228,802,18201,2712,14712,777
"23",2018,"MI","Michigan",9984072,45176,555,5638,31082,166186,31834,116876,17476
"24",2018,"MN","Minnesota",5606249,12403,107,2946,6875,112186,16206,85849,10131
"25",2018,"MO","Missouri",6121623,30696,599,5206,21956,162698,27345,115506,19847
"26",2018,"MS","Mississippi",2981020,7929,214,1700,5419,71701,20355,46201,5145
"27",2018,"MT","Montana",1060665,4040,37,270,3164,26787,3329,20641,2817
"28",2018,"NC","North Carolina",10381615,36980,574,7573,26200,243323,57450,169376,16497
"29",2018,"ND","North Dakota",758080,2154,18,158,1569,15621,2742,11088,1791
"30",2018,"NE","Nebraska",1925614,5583,44,736,3513,40193,5308,29987,4898
"31",2018,"NH","New Hampshire",1353465,2404,21,342,1463,17201,1908,14396,897
"32",2018,"NJ","New Jersey",8886025,18536,285,6364,10463,125155,19232,94886,11037
"33",2018,"NM","New Mexico",2092741,17637,153,2646,13536,70722,16102,44592,10028
"34",2018,"NV","Nevada",3027341,16715,202,3862,10322,73998,17741,44341,11916
"35",2018,"NY","New York",19530351,68512,562,18191,43182,281543,31158,237243,13142
"36",2018,"OH","Ohio",11676341,34426,596,9608,18370,257848,49456,188433,19959
"37",2018,"OK","Oklahoma",3940235,18701,215,2805,13250,114395,27178,73799,13418
"38",2018,"OR","Oregon",4181886,12146,86,2515,7431,122401,16515,89191,16695
"39",2018,"PA","Pennsylvania",12800922,39099,784,9854,23971,190633,27054,150441,13138
"40",2018,"RI","Rhode Island",1058287,2326,16,453,1363,17625,2817,13270,1538
"41",2018,"SC","South Carolina",5084156,25463,411,3592,18810,156330,29957,111427,14946
"42",2018,"SD","South Dakota",878698,3483,12,222,2632,15191,2502,11237,1452
"43",2018,"TN","Tennessee",6771631,42687,508,7222,31946,192897,33538,138710,20649
"44",2018,"TX","Texas",28628666,118197,1327,28339,73433,681143,117897,493238,70008
"45",2018,"UT","Utah",3153550,7551,63,1237,4397,76294,10079,58406,7809
"46",2018,"VA","Virginia",8501286,17357,417,3610,10258,142931,15659,116496,10776
"47",2018,"VT","Vermont",624358,1155,11,73,745,8211,1496,6451,264
"48",2018,"WA","Washington",7523869,23719,236,5557,14316,223256,40434,154941,27881
"49",2018,"WI","Wisconsin",5807406,17365,175,3493,11364,91238,14180,68380,8678
"50",2018,"WV","West Virginia",1804291,5411,76,333,4286,27888,5916,19783,2189
"51",2018,"WY","Wyoming",577601,1235,14,75,885,10308,1551,7974,783
