"","year","gender","race","age_group","county","violent","property","f_drugoff","f_sexoff","f_allother","f_total","m_total","s_total"
"1",2015,"Male","Black","Under 18","Alameda County",153,152,8,4,44,361,212,22
"2",2015,"Male","Black","Under 18","Butte County",2,5,1,1,6,15,20,0
"3",2015,"Male","Black","Under 18","Calaveras County",0,0,0,0,0,0,2,0
"4",2015,"Male","Black","Under 18","Contra Costa County",84,80,6,2,25,197,227,5
"5",2015,"Male","Black","Under 18","Del Norte County",0,0,0,0,0,0,1,0
"6",2015,"Male","Black","Under 18","El Dorado County",2,1,1,0,2,6,0,0
"7",2015,"Male","Black","Under 18","Fresno County",54,34,1,3,14,106,248,9
"8",2015,"Male","Black","Under 18","Glenn County",0,0,0,0,0,0,1,0
"9",2015,"Male","Black","Under 18","Humboldt County",0,0,0,0,1,1,4,3
"10",2015,"Male","Black","Under 18","Imperial County",1,2,0,0,1,4,8,0
"11",2015,"Male","Black","Under 18","Inyo County",0,1,0,0,0,1,0,0
"12",2015,"Male","Black","Under 18","Kern County",49,70,1,1,32,153,106,44
"13",2015,"Male","Black","Under 18","Kings County",9,7,1,1,4,22,55,15
"14",2015,"Male","Black","Under 18","Lake County",1,0,0,0,1,2,8,0
"15",2015,"Male","Black","Under 18","Lassen County",0,0,0,0,0,0,0,1
"16",2015,"Male","Black","Under 18","Los Angeles County",590,596,44,28,193,1451,880,105
"17",2015,"Male","Black","Under 18","Madera County",1,0,1,1,1,4,9,0
"18",2015,"Male","Black","Under 18","Marin County",7,7,1,0,9,24,32,2
"19",2015,"Male","Black","Under 18","Mendocino County",2,0,0,0,1,3,0,0
"20",2015,"Male","Black","Under 18","Merced County",8,4,1,0,2,15,30,26
"21",2015,"Male","Black","Under 18","Monterey County",4,3,1,0,0,8,22,4
"22",2015,"Male","Black","Under 18","Napa County",2,0,0,0,4,6,16,0
"23",2015,"Male","Black","Under 18","Nevada County",3,0,0,0,1,4,6,1
"24",2015,"Male","Black","Under 18","Orange County",11,26,3,1,10,51,96,29
"25",2015,"Male","Black","Under 18","Placer County",4,2,1,0,0,7,11,0
"26",2015,"Male","Black","Under 18","Plumas County",1,0,0,0,0,1,1,0
"27",2015,"Male","Black","Under 18","Riverside County",74,67,5,5,34,185,217,36
"28",2015,"Male","Black","Under 18","Sacramento County",168,138,8,7,68,389,272,45
"29",2015,"Male","Black","Under 18","San Benito County",1,0,0,0,0,1,1,0
"30",2015,"Male","Black","Under 18","San Bernardino County",200,214,16,12,65,507,447,183
"31",2015,"Male","Black","Under 18","San Diego County",93,72,10,7,39,221,342,106
"32",2015,"Male","Black","Under 18","San Francisco County",40,29,2,0,128,199,152,3
"33",2015,"Male","Black","Under 18","San Joaquin County",62,32,10,6,25,135,241,8
"34",2015,"Male","Black","Under 18","San Luis Obispo County",0,2,0,0,0,2,5,0
"35",2015,"Male","Black","Under 18","San Mateo County",8,14,1,2,4,29,44,9
"36",2015,"Male","Black","Under 18","Santa Barbara County",4,5,1,1,4,15,35,0
"37",2015,"Male","Black","Under 18","Santa Clara County",25,36,4,1,4,70,126,6
"38",2015,"Male","Black","Under 18","Santa Cruz County",2,1,1,0,1,5,19,1
"39",2015,"Male","Black","Under 18","Shasta County",3,2,0,0,3,8,15,6
"40",2015,"Male","Black","Under 18","Siskiyou County",0,0,0,0,0,0,0,0
"41",2015,"Male","Black","Under 18","Solano County",66,40,8,0,25,139,203,10
"42",2015,"Male","Black","Under 18","Sonoma County",9,3,0,0,0,12,21,1
"43",2015,"Male","Black","Under 18","Stanislaus County",25,15,5,1,9,55,43,5
"44",2015,"Male","Black","Under 18","Sutter County",6,3,0,0,0,9,11,0
"45",2015,"Male","Black","Under 18","Tehama County",0,1,0,0,0,1,3,0
"46",2015,"Male","Black","Under 18","Trinity County",0,2,0,0,0,2,0,0
"47",2015,"Male","Black","Under 18","Tulare County",6,8,1,0,5,20,39,12
"48",2015,"Male","Black","Under 18","Tuolumne County",1,0,0,0,0,1,0,0
"49",2015,"Male","Black","Under 18","Ventura County",11,11,1,0,4,27,48,51
"50",2015,"Male","Black","Under 18","Yolo County",5,5,0,1,4,15,13,1
"51",2015,"Male","Black","Under 18","Yuba County",8,0,1,0,1,10,11,0
"52",2015,"Male","Black","18 to 19","Alameda County",85,85,32,0,101,303,234,0
"53",2015,"Male","Black","18 to 19","Butte County",4,2,1,0,2,9,26,0
"54",2015,"Male","Black","18 to 19","Colusa County",0,0,0,0,0,0,1,0
"55",2015,"Male","Black","18 to 19","Contra Costa County",97,54,8,1,47,207,150,0
"56",2015,"Male","Black","18 to 19","El Dorado County",1,2,1,0,1,5,8,0
"57",2015,"Male","Black","18 to 19","Fresno County",44,19,5,0,40,108,89,0
"58",2015,"Male","Black","18 to 19","Humboldt County",2,0,1,0,1,4,6,0
"59",2015,"Male","Black","18 to 19","Imperial County",0,0,1,0,0,1,2,0
"60",2015,"Male","Black","18 to 19","Inyo County",0,0,0,0,0,0,0,0
"61",2015,"Male","Black","18 to 19","Kern County",31,49,2,0,31,113,98,0
"62",2015,"Male","Black","18 to 19","Kings County",1,5,1,0,8,15,18,0
"63",2015,"Male","Black","18 to 19","Lake County",0,0,0,0,1,1,9,0
"64",2015,"Male","Black","18 to 19","Lassen County",0,0,0,0,0,0,0,0
"65",2015,"Male","Black","18 to 19","Los Angeles County",475,444,64,7,269,1259,897,0
"66",2015,"Male","Black","18 to 19","Madera County",0,1,1,0,0,2,5,0
"67",2015,"Male","Black","18 to 19","Marin County",7,4,2,1,2,16,17,0
"68",2015,"Male","Black","18 to 19","Mariposa County",0,0,0,0,0,0,1,0
"69",2015,"Male","Black","18 to 19","Mendocino County",0,0,0,0,0,0,1,0
"70",2015,"Male","Black","18 to 19","Merced County",7,3,2,0,3,15,25,0
"71",2015,"Male","Black","18 to 19","Monterey County",3,0,0,0,4,7,18,0
"72",2015,"Male","Black","18 to 19","Napa County",1,5,0,0,3,9,10,0
"73",2015,"Male","Black","18 to 19","Nevada County",0,0,1,0,0,1,1,0
"74",2015,"Male","Black","18 to 19","Orange County",31,33,5,2,11,82,76,0
"75",2015,"Male","Black","18 to 19","Placer County",5,1,0,0,9,15,15,0
"76",2015,"Male","Black","18 to 19","Plumas County",0,0,0,0,0,0,1,0
"77",2015,"Male","Black","18 to 19","Riverside County",61,48,10,5,39,163,169,0
"78",2015,"Male","Black","18 to 19","Sacramento County",138,107,20,4,88,357,211,0
"79",2015,"Male","Black","18 to 19","San Bernardino County",109,135,25,5,45,319,267,0
"80",2015,"Male","Black","18 to 19","San Diego County",76,55,11,2,52,196,242,0
"81",2015,"Male","Black","18 to 19","San Francisco County",61,33,14,0,42,150,91,0
"82",2015,"Male","Black","18 to 19","San Joaquin County",29,16,6,2,34,87,71,0
"83",2015,"Male","Black","18 to 19","San Luis Obispo County",1,1,0,0,0,2,16,0
