"","X","rowid","state_fips_code","county_fips_code","fips_code","state_abbreviation","county_name","release_year","county_ranked_yes_1_no_0","premature_death","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","adult_smoking","adult_obesity","food_environment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol_impaired_driving_deaths","sexually_transmitted_infections","teen_births","uninsured","primary_care_physicians","ratio_of_population_to_primary_care_physicians","dentists","ratio_of_population_to_dentists","mental_health_providers","ratio_of_population_to_mental_health_providers","preventable_hospital_stays","diabetes_monitoring","mammography_screening","some_college","unemployment","children_in_poverty","income_inequality","children_in_single_parent_households","social_associations","violent_crime","injury_deaths","air_pollution_particulate_matter","drinking_water_violations","severe_housing_problems","driving_alone_to_work","long_commute_driving_alone","premature_age_adjusted_mortality","child_mortality","infant_mortality","diabetes_prevalence","hiv_prevalence","food_insecurity","limited_access_to_healthy_foods","drug_poisoning_deaths","motor_vehicle_crash_deaths","uninsured_adults","uninsured_children","health_care_costs","other_primary_care_providers","ratio_of_population_to_primary_care_providers_other_than_physicians","could_not_see_doctor_due_to_cost","median_household_income","children_eligible_for_free_lunch","homicides","population","percent_65_and_older","percent_non_hispanic_african_american","percent_american_indian_and_alaskan_native","percent_asian","percent_native_hawaiian_other_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_not_proficient_in_english","percent_females","percent_rural","communicable_disease","coronary_heart_disease_hospitalizations","cerebrovascular_disease_hospitalizations","self_inflicted_injury_hospitalizations","cancer_incidence","smoking_during_pregnancy","drug_arrests","alcohol_related_hospitalizations","motor_vehicle_crash_occupancy_rate","on_road_motor_vehicle_crash_related_er_visits","off_road_motor_vehicle_crash_related_er_visits","no_recent_dental_visit","did_not_get_needed_health_care","childhood_immunizations","local_health_department_staffing","reading_proficiency","w_2_enrollment","poverty","older_adults_living_alone","hate_crimes","child_abuse","injury_hospitalizations","fall_fatalities_65","year_structure_built","male_population_0_17","male_population_18_44","male_population_45_64","male_population_65","total_male_population","female_population_0_17","female_population_18_44","female_population_45_64","female_population_65","total_female_population","population_growth","frequent_physical_distress","frequent_mental_distress","drug_overdose_deaths","drug_overdose_deaths_modeled","insufficient_sleep","residential_segregation_black_white","residential_segregation_non_white_white","disconnected_youth","children_eligible_for_free_or_reduced_price_lunch","firearm_fatalities","premature_death_white","premature_death_black","premature_death_hispanic","teen_births_white","teen_births_black","teen_births_hispanic","diabetes_monitoring_white","diabetes_monitoring_black","mammography_screening_white","mammography_screening_black","children_in_poverty_white","children_in_poverty_black","children_in_poverty_hispanic","driving_alone_to_work_white","driving_alone_to_work_black","driving_alone_to_work_hispanic","premature_age_adjusted_mortality_white","premature_age_adjusted_mortality_black","premature_age_adjusted_mortality_hispanic","child_mortality_white","child_mortality_black","child_mortality_hispanic","infant_mortality_white","infant_mortality_black","infant_mortality_hispanic","median_household_income_white","median_household_income_black","median_household_income_hispanic"
"1",190,191,6,0,6000,"CA","california",2015,NA,5295.43,0.184,3.7,3.6,0.129,0.2290017038,7.5,0.1682330139,0.9341362029,0.172,0.3106930419,440.8,34.160428878,0.2001655636,0.0007724999,1294.4985878,0.0007745382,1291.0919838,0.0025743154,388.45278679,45.3,0.8146045784,0.5929780643,0.6165929559,0.0894506599,0.235,5.0850465002,0.3177703691,5.7718650429,424.52857722,45.843305842,9.3,0.0254865986,0.2850459698,0.7315888938,0.37,274.9,41.806733329,5.1,0.081,363,0.1624436831,0.0311806028,10.64196515,9.1791972129,0.2470872581,0.0836237919,9312.67,0.0004155479,2406.4612342,0.157,60185,NA,5.6,38332521,0.1250043273,0.057464783,0.0167414243,0.140985692,0.0049815664,0.3839905547,0.3899023234,0.1078881818,0.5026626086,0.0504738342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",191,192,6,1,6001,"CA","alameda_county",2015,1,4886.73,0.145,3,3.2,0.106,0.205,7.6,0.15,0.9973124029,0.194,0.3432835821,422.1,23.928972308,0.1474294644,0.0010201194,980.27742749,0.0008784647,1138.3496756,0.0045278616,220.85480487,42.04,0.7980043806,0.6007384813,0.709680128,0.0741317771,0.154,5.3771652965,0.2922436444,6.5285067408,723.49198306,42.400793701,8.46,0,0.2545881826,0.6510961625,0.406,256.6,38.00836184,4.6,0.077,395.9,0.156,0.0160412838,10.476742396,5.8830203426,0.1783990011,0.0607042757,8562.32,0.0003888805,2571.4837134,0.125,72128,NA,9.4,1578891,0.1215017376,0.1151491775,0.0115638128,0.2820106011,0.0098448848,0.2267458615,0.3322521947,0.0932625549,0.5095069894,0.0038860575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",192,193,6,3,6003,"CA","alpine_county",2015,0,NA,NA,NA,NA,NA,0.235,6.5,0.177,1,NA,0.3333333333,NA,NA,0.1853035144,0,-1129,0,-1159,0.0069025022,144.875,22.93,0.8333333333,0.6941176471,0.6857142857,0.1144859813,0.319,5.5934612651,0.3937007874,8.8573959256,719.21749137,NA,10.32,0.4575276243,0.2112676056,0.5220264317,0.447,NA,NA,NA,0.101,NA,0.153,0.1298823421,NA,NA,0.2135785007,0.1016949153,6979.14,0,-1159,NA,49392,NA,NA,1159,0.1906816221,0.0043140638,0.2389991372,0.0094909405,0,0.0983606557,0.6635030198,0.0222816399,0.4736842105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",193,194,6,5,6005,"CA","amador_county",2015,1,6601.66,0.175,4,4.2,0.212,0.248,7.7,0.172,0.6899530073,0.178,0.2093023256,178.2,21.939953811,0.1525321785,0.0006750371,1481.4,0.0008488732,1178.0322581,0.0014239163,702.28846154,41.85,0.8493870403,0.6985446985,0.5401925078,0.0986530307,0.221,4.3898180561,0.2934463081,9.4505197786,294.07926219,93.371666711,9.4,0.1915709352,0.197759888,0.8101475709,0.392,328.2,NA,NA,0.101,114,0.145,0.0315009199,25.874288457,19.124474077,0.1768810998,0.0793142125,7583.11,0.0004655111,2148.1764706,0.146,52357,NA,NA,36519,0.2417645609,0.0197157644,0.0212765957,0.0130616939,0.0024918536,0.1271666804,0.8005695665,0.0133953282,0.4689613626,0.6042372214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",194,195,6,7,6007,"CA","butte_county",2015,1,7649.95,0.173,4.5,4.5,0.192,0.244,6.4,0.169,0.8403909091,0.204,0.3484848485,382.3,26.491461162,0.1931215631,0.0006680539,1496.8851351,0.0006844072,1461.1184211,0.0041964969,238.29399142,59.12,0.8107112496,0.6240889912,0.6777840588,0.1003576972,0.25,4.8034201954,0.3520829632,7.5833149017,304.10816746,90.949068522,8.93,0.0040708162,0.232222483,0.7397069667,0.216,387.6,45.880579406,6.2,0.095,110,0.182,0.0721909629,32.640371514,15.896707883,0.2315485014,0.0794742376,8710.08,0.0008059796,1240.726257,0.167,42395,NA,4.5,222090,0.1665901211,0.0147282633,0.0244720609,0.0442793462,0.0026880994,0.1514791301,0.7405286145,0.0272831582,0.5036516727,0.1890181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",195,196,6,9,6009,"CA","calaveras_county",2015,1,7101.19,0.214,4.3,4.3,0.191,0.243,7.7,0.176,0.6280661723,0.239,0.306122449,181,22.261520857,0.1647886081,0.0004470073,2237.1,0.0004717511,2119.7619048,0.0012130742,824.35185185,51.3,0.8525073746,0.6608,0.6489524783,0.1042877907,0.218,4.4352682349,0.2917010006,8.9401457244,228.92637903,92.292682069,9.54,0.0342404363,0.1945401537,0.8008959095,0.518,320.3,56.984927487,NA,0.1,42.8,0.147,0.0214707815,18.446146631,23.761138033,0.1905885082,0.0884842862,7795.71,0.0002471077,4046.8181818,0.229,52598,NA,NA,44515,0.2426148489,0.0086263057,0.0179939346,0.0149163203,0.0020667191,0.1110636864,0.8254296305,0.0094686035,0.4995844097,0.7540918864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",196,197,6,11,6011,"CA","colusa_county",2015,1,5942.57,NA,2.9,2.6,NA,0.223,7,0.159,0.732573883,NA,0.2051282051,182.1,44.868301544,0.2280015014,0.0003269348,3058.7142857,0.000327746,3051.1428571,0.0015450885,647.21212121,65.01,0.8895899054,0.5865921788,0.427800521,0.1843676967,0.2,3.7350916046,0.3339878907,8.8739433002,215.91943121,55.262590973,7.55,0.0156328164,0.2167381974,0.7540847739,0.256,310.3,54.99469694,NA,0.083,NA,0.176,0.0268231773,NA,17.481577107,0.2919304431,0.1035279618,7938.06,0.000327746,3051.1428571,0.226,48897,NA,NA,21358,0.1275868527,0.0092237101,0.0265942504,0.0176514655,0.0057121453,0.5745856354,0.373536848,0.1523780363,0.4832381309,0.3172417013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",197,198,6,13,6013,"CA","contra_costa_county",2015,1,5040.11,0.138,3.3,3.4,0.116,0.224,8,0.165,0.9577788899,0.184,0.3045112782,317.6,21.408614246,0.1378403415,0.0009503546,1052.2387914,0.0007978395,1253.3848797,0.002834935,352.7417795,43.95,0.7976004173,0.641412138,0.6839947623,0.0739021838,0.134,4.817297898,0.2614714255,5.5113157965,396.59624575,47.469992116,8.29,0.0000245639,0.2378108782,0.6967099662,0.459,251.8,38.952307948,4.3,0.083,211.7,0.132,0.0270358801,9.964301925,7.1429180926,0.1654189034,0.0710897497,8742.07,0.0003536814,2827.4031008,0.092,78909,NA,8.8,1094205,0.1381221983,0.088487989,0.0099250141,0.1593586211,0.0057804525,0.2494084746,0.4633245141,0.0654442327,0.5115385143,0.0079273611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",198,199,6,15,6015,"CA","del_norte_county",2015,1,9082.35,0.159,6.3,4,0.203,0.255,6,0.181,0.78049633,NA,0.2272727273,127.3,53.759894459,0.1793647003,0.00077766,1285.9090909,0.0007175403,1393.65,0.0034083163,293.4,55.69,0.8531317495,0.5150501672,0.4148423516,0.1156444204,0.326,5.795032338,0.4168488313,6.3626723224,492.59374892,96.737560811,7.96,0,0.2418533605,0.7530821121,0.08,444.2,78.237595223,NA,0.087,139.6,0.188,0.1021732244,11.541549578,27.097551184,0.2155883919,0.0911712867,7559.66,0.0007534173,1327.2857143,0.2,38663,NA,8,27873,0.1486025903,0.0350877193,0.0908405984,0.037025078,0.0017220967,0.1912962365,0.6314354393,0.0276218111,0.445951279,0.3367354072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",199,200,6,17,6017,"CA","el_dorado_county",2015,1,5096.16,0.097,2.7,3.1,0.143,0.21,7.9,0.144,0.9404500215,0.209,0.4433962264,158.9,16.487134861,0.1343198634,0.0006922868,1444.488,0.0007923538,1262.0625,0.0023550515,424.61915888,37.07,0.8193249504,0.6682242991,0.6962296819,0.0851278148,0.138,4.4758177337,0.2216914722,6.3690387182,241.19474601,67.393661005,9.5,0.0009897744,0.2121057986,0.7684414229,0.407,256.7,28.407161075,4.2,0.08,89.7,0.129,0.0475281783,20.053651475,11.061339504,0.1609576992,0.063794288,8039.22,0.0003026351,3304.3090909,0.132,63002,NA,3,181737,0.171693161,0.0078189912,0.0132939357,0.0393095517,0.0020304066,0.1246911746,0.7911652553,0.0183546512,0.4996175792,0.3469993041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
