"","year","county","st_total","st_le_total","cnty_total","cnty_le_total"
"1",2015,"Alameda County",5508,4447,5508,4447
"2",2015,"Alpine County",20,16,20,16
"3",2015,"Amador County",160,120,160,120
"4",2015,"Butte County",799,542,799,542
"5",2015,"Calaveras County",131,100,131,100
"6",2015,"Colusa County",110,79,110,79
"7",2015,"Contra Costa County",3099,2516,2814,2231
"8",2015,"Del Norte County",113,65,113,65
"9",2015,"El Dorado County",620,422,620,422
"10",2015,"Fresno County",3588,2712,3588,2712
"11",2015,"Glenn County",111,78,111,78
"12",2015,"Humboldt County",550,382,550,382
"13",2015,"Imperial County",669,478,669,478
"14",2015,"Inyo County",133,90,133,90
"15",2015,"Kern County",3011,2085,3011,2085
"16",2015,"Kings County",596,421,596,421
"17",2015,"Lake County",256,173,256,173
"18",2015,"Lassen County",143,99,143,99
"19",2015,"Los Angeles County",44470,35919,44470,35919
"20",2015,"Madera County",426,201,426,201
"21",2015,"Marin County",834,611,834,611
"22",2015,"Mariposa County",99,72,99,72
"23",2015,"Mendocino County",393,247,393,247
"24",2015,"Merced County",704,488,704,488
"25",2015,"Modoc County",38,29,38,29
"26",2015,"Mono County",72,54,72,54
"27",2015,"Monterey County",1350,879,1350,879
"28",2015,"Napa County",569,389,569,389
"29",2015,"Nevada County",323,227,323,227
"30",2015,"Orange County",9737,7404,9737,7404
"31",2015,"Placer County",1039,791,1039,791
"32",2015,"Plumas County",80,60,80,60
"33",2015,"Riverside County",7315,5542,7315,5542
"34",2015,"Sacramento County",15711,14470,4638,3397
"35",2015,"San Benito County",123,86,123,86
"36",2015,"San Bernardino County",7074,5206,7074,5206
"37",2015,"San Diego County",10917,8339,10917,8339
"38",2015,"San Francisco County",4740,3849,4740,3849
"39",2015,"San Joaquin County",2220,1651,2220,1651
"40",2015,"San Luis Obispo County",1074,834,1074,834
"41",2015,"San Mateo County",2131,1645,2131,1645
"42",2015,"Santa Barbara County",1618,1106,1618,1106
"43",2015,"Santa Clara County",5910,4239,5910,4239
"44",2015,"Santa Cruz County",793,585,793,585
"45",2015,"Shasta County",559,387,559,387
"46",2015,"Sierra County",20,14,20,14
"47",2015,"Siskiyou County",219,152,219,152
"48",2015,"Solano County",1444,1064,1444,1064
"49",2015,"Sonoma County",1565,1123,1565,1123
"50",2015,"Stanislaus County",1520,1114,1520,1114
"51",2015,"Sutter County",274,208,274,208
"52",2015,"Tehama County",252,167,252,167
"53",2015,"Trinity County",68,42,68,42
"54",2015,"Tulare County",1960,1288,1960,1288
"55",2015,"Tuolumne County",202,148,202,148
"56",2015,"Ventura County",2855,2052,2855,2052
"57",2015,"Yolo County",824,603,824,603
"58",2015,"Yuba County",300,199,300,199
"59",2016,"Alameda County",5570,4476,5570,4476
"60",2016,"Alpine County",20,17,20,17
"61",2016,"Amador County",147,107,147,107
"62",2016,"Butte County",785,529,785,529
"63",2016,"Calaveras County",142,108,142,108
"64",2016,"Colusa County",115,83,115,83
"65",2016,"Contra Costa County",3101,2517,2824,2240
"66",2016,"Del Norte County",120,65,120,65
"67",2016,"El Dorado County",623,431,623,431
"68",2016,"Fresno County",3719,2834,3719,2834
"69",2016,"Glenn County",110,78,110,78
"70",2016,"Humboldt County",571,395,571,395
"71",2016,"Imperial County",669,472,669,472
"72",2016,"Inyo County",130,87,130,87
"73",2016,"Kern County",2891,1982,2891,1982
"74",2016,"Kings County",604,432,604,432
"75",2016,"Lake County",245,176,245,176
"76",2016,"Lassen County",146,100,146,100
"77",2016,"Los Angeles County",44799,36253,44799,36253
"78",2016,"Madera County",359,209,359,209
"79",2016,"Marin County",837,607,837,607
"80",2016,"Mariposa County",98,71,98,71
"81",2016,"Mendocino County",394,251,394,251
"82",2016,"Merced County",748,510,748,510
"83",2016,"Modoc County",45,35,45,35
"84",2016,"Mono County",68,51,68,51
"85",2016,"Monterey County",1392,917,1392,917
"86",2016,"Napa County",599,406,599,406
"87",2016,"Nevada County",322,225,322,225
"88",2016,"Orange County",9759,7439,9759,7439
"89",2016,"Placer County",1087,829,1087,829
"90",2016,"Plumas County",87,65,87,65
"91",2016,"Riverside County",7353,5415,7353,5415
"92",2016,"Sacramento County",15907,14656,4684,3433
"93",2016,"San Benito County",131,87,131,87
"94",2016,"San Bernardino County",6893,5009,6893,5009
"95",2016,"San Diego County",10961,8491,10961,8491
"96",2016,"San Francisco County",4996,4105,4996,4105
"97",2016,"San Joaquin County",2289,1701,2289,1701
"98",2016,"San Luis Obispo County",1083,843,1083,843
"99",2016,"San Mateo County",2134,1658,2134,1658
"100",2016,"Santa Barbara County",1688,1133,1688,1133
"101",2016,"Santa Clara County",5966,4295,5966,4295
"102",2016,"Santa Cruz County",835,617,835,617
"103",2016,"Shasta County",552,392,552,392
"104",2016,"Sierra County",23,17,23,17
"105",2016,"Siskiyou County",229,160,229,160
"106",2016,"Solano County",1508,1115,1508,1115
"107",2016,"Sonoma County",1342,878,1342,878
"108",2016,"Stanislaus County",1567,1156,1567,1156
"109",2016,"Sutter County",277,211,277,211
"110",2016,"Tehama County",259,170,259,170
"111",2016,"Trinity County",68,44,68,44
"112",2016,"Tulare County",1932,1258,1932,1258
"113",2016,"Tuolumne County",197,143,197,143
"114",2016,"Ventura County",2787,2037,2787,2037
"115",2016,"Yolo County",843,604,843,604
"116",2016,"Yuba County",305,196,305,196
"117",2017,"Alameda County",5593,4458,5593,4458
"118",2017,"Alpine County",19,17,19,17
"119",2017,"Amador County",147,105,147,105
"120",2017,"Butte County",776,511,776,511
"121",2017,"Calaveras County",139,113,139,113
"122",2017,"Colusa County",112,82,112,82
"123",2017,"Contra Costa County",3175,2553,2893,2271
"124",2017,"Del Norte County",111,64,111,64
"125",2017,"El Dorado County",633,436,633,436
"126",2017,"Fresno County",3804,2908,3804,2908
"127",2017,"Glenn County",100,75,100,75
"128",2017,"Humboldt County",579,403,579,403
"129",2017,"Imperial County",652,453,652,453
"130",2017,"Inyo County",112,80,112,80
"131",2017,"Kern County",2819,1972,2819,1972
"132",2017,"Kings County",624,448,624,448
"133",2017,"Lake County",233,167,233,167
"134",2017,"Lassen County",152,102,152,102
"135",2017,"Los Angeles County",44115,35442,44115,35442
"136",2017,"Madera County",368,216,368,216
"137",2017,"Marin County",835,611,835,611
"138",2017,"Mariposa County",103,75,103,75
"139",2017,"Mendocino County",416,275,416,275
"140",2017,"Merced County",777,534,777,534
"141",2017,"Modoc County",45,36,45,36
"142",2017,"Mono County",71,53,71,53
"143",2017,"Monterey County",1457,979,1457,979
"144",2017,"Napa County",613,412,613,412
"145",2017,"Nevada County",329,232,329,232
"146",2017,"Orange County",9930,7649,9930,7649
"147",2017,"Placer County",1119,860,1119,860
"148",2017,"Plumas County",87,66,87,66
"149",2017,"Riverside County",7030,5127,7030,5127
"150",2017,"Sacramento County",16041,14853,4648,3460
"151",2017,"San Benito County",139,93,139,93
"152",2017,"San Bernardino County",7522,5551,7522,5551
"153",2017,"San Diego County",10851,8300,10851,8300
"154",2017,"San Francisco County",5101,4181,5101,4181
"155",2017,"San Joaquin County",2329,1766,2329,1766
"156",2017,"San Luis Obispo County",1109,859,1109,859
"157",2017,"San Mateo County",2219,1679,2219,1679
"158",2017,"Santa Barbara County",1669,1147,1669,1147
"159",2017,"Santa Clara County",6128,4352,6128,4352
"160",2017,"Santa Cruz County",846,621,846,621
"161",2017,"Shasta County",551,370,551,370
"162",2017,"Sierra County",19,13,19,13
"163",2017,"Siskiyou County",222,153,222,153
"164",2017,"Solano County",1568,1127,1568,1127
"165",2017,"Sonoma County",1625,1156,1625,1156
"166",2017,"Stanislaus County",1664,1207,1664,1207
"167",2017,"Sutter County",281,216,281,216
"168",2017,"Tehama County",260,178,260,178
"169",2017,"Trinity County",74,47,74,47
"170",2017,"Tulare County",1949,1263,1949,1263
"171",2017,"Tuolumne County",223,149,223,149
"172",2017,"Ventura County",2819,2061,2819,2061
"173",2017,"Yolo County",844,602,844,602
"174",2017,"Yuba County",303,190,303,190
"175",2018,"Alameda County",5481,4356,5481,4356
"176",2018,"Alpine County",18,15,18,15
"177",2018,"Amador County",151,111,151,111
"178",2018,"Butte County",776,516,776,516
"179",2018,"Calaveras County",138,104,138,104
"180",2018,"Colusa County",109,80,109,80
"181",2018,"Contra Costa County",3334,2620,2997,2283
"182",2018,"Del Norte County",103,65,103,65
"183",2018,"El Dorado County",622,422,622,422
"184",2018,"Fresno County",3956,2995,3956,2995
"185",2018,"Glenn County",102,80,102,80
"186",2018,"Humboldt County",572,398,572,398
"187",2018,"Imperial County",660,454,660,454
"188",2018,"Inyo County",129,97,129,97
"189",2018,"Kern County",2838,2021,2838,2021
