"","rowid","state_fips_code","county_fips_code","fips_code","state_abbreviation","county_name","release_year","county_ranked_yes_1_no_0","premature_death","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","adult_smoking","adult_obesity","food_environment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol_impaired_driving_deaths","sexually_transmitted_infections","teen_births","uninsured","primary_care_physicians","ratio_of_population_to_primary_care_physicians","dentists","ratio_of_population_to_dentists","mental_health_providers","ratio_of_population_to_mental_health_providers","preventable_hospital_stays","diabetes_monitoring","mammography_screening","some_college","unemployment","children_in_poverty","income_inequality","children_in_single_parent_households","social_associations","violent_crime","injury_deaths","air_pollution_particulate_matter","drinking_water_violations","severe_housing_problems","driving_alone_to_work","long_commute_driving_alone","premature_age_adjusted_mortality","child_mortality","infant_mortality","diabetes_prevalence","hiv_prevalence","food_insecurity","limited_access_to_healthy_foods","drug_poisoning_deaths","motor_vehicle_crash_deaths","uninsured_adults","uninsured_children","health_care_costs","other_primary_care_providers","ratio_of_population_to_primary_care_providers_other_than_physicians","could_not_see_doctor_due_to_cost","median_household_income","children_eligible_for_free_lunch","homicides","population","percent_65_and_older","percent_non_hispanic_african_american","percent_american_indian_and_alaskan_native","percent_asian","percent_native_hawaiian_other_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_not_proficient_in_english","percent_females","percent_rural","communicable_disease","coronary_heart_disease_hospitalizations","cerebrovascular_disease_hospitalizations","self_inflicted_injury_hospitalizations","cancer_incidence","smoking_during_pregnancy","drug_arrests","alcohol_related_hospitalizations","motor_vehicle_crash_occupancy_rate","on_road_motor_vehicle_crash_related_er_visits","off_road_motor_vehicle_crash_related_er_visits","no_recent_dental_visit","did_not_get_needed_health_care","childhood_immunizations","local_health_department_staffing","reading_proficiency","w_2_enrollment","poverty","older_adults_living_alone","hate_crimes","child_abuse","injury_hospitalizations","fall_fatalities_65","year_structure_built","male_population_0_17","male_population_18_44","male_population_45_64","male_population_65","total_male_population","female_population_0_17","female_population_18_44","female_population_45_64","female_population_65","total_female_population","population_growth"
"1",2,"00","000","00000","US","united_states","2015","","6621.61","0.163","3.7","3.4","0.203","","","","0.8465707543","0.152","0.3134133596","453.3","36.565788876","","","","","","","","59.29","0.845712006","0.6298267777","","","0.222","","","","392.04093974","59.35084566","","","","","","333.9","52.765409309","6.6","","","0.159","0.0565304686","12.35867609","12.149325544","","","9686.92","","","0.142","52250","0.3511814596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2",3,"01","000","01000","AL","alabama","2015","","9507.9","0.205","4.3","4.3","0.219","0.3322677993","6.7","0.2937120828","0.6410496312","0.122","0.2786392039","635","46.652294617","0.1576674731","0.0006275374","1593.5304032","0.0004433437","2255.5865609","0.0006940821","1440.7517139","71.52","0.842344458","0.6271070883","0.5795576606","0.0646379314","0.274","5.2077017616","0.3825863629","12.505124924","417.96887253","75.198980195","12.8","0.0475302433","0.1519328117","0.8495340802","0.323","459.7","73.303527954","9.1","0.129","289.9","0.1856959206","0.0767522302","11.472927387","20.890552311","0.2022517419","0.0433759489","10126.93","0.000461756","2165.6460573","0.163","42882","0.5002665786","9.1","4833722","0.1491947613","0.2627674906","0.0069472344","0.0127973847","0.0010625352","0.040966154","0.664207623","0.0140235854","0.5147948103","0.409631829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3",4,"01","001","01001","AL","autauga_county","2015","1","8405.21","0.228","5.1","3.6","0.217","0.313","7.2","0.279","0.7368382474","0.167","0.3333333333","508","36.499862524","0.1283670738","0.0003242425","3084.1111111","0.0002896137","3452.875","0.000126706","7892.2857143","79.74","0.8461538462","0.6879795396","0.560371517","0.0568748283","0.196","4.1715137957","0.2962937014","13.149836077","253.64461706","73.323459108","12.92","0","0.1225","0.8851888668","0.42","431.9","41.162144548","8","0.121","181.1","0.135","0.097935304","8.2337973477","21.248509284","0.168538991","0.0371034117","9939.29","0.0001629077","6138.4444444","0.156","51868","0.3834096692","4.6","55246","0.1351410057","0.1827281613","0.0050139377","0.0113673388","0.0009412446","0.0269883792","0.7590413786","0.0047648683","0.5149694096","0.4200216232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4",5,"01","003","01003","AL","baldwin_county","2015","1","7456.89","0.127","3.3","3.8","0.206","0.25","7.6","0.252","0.7361808356","0.179","0.3028169014","357.5","44.532661526","0.1579029187","0.0007547565","1324.9305556","0.0004653779","2148.7912088","0.0007261941","1377.0422535","51.36","0.8106029947","0.6610169492","0.6248922676","0.0583954667","0.208","4.4171482752","0.2924272759","11.63582997","220.66510634","74.53511183","13.13","0.0115353437","0.1409087697","0.8369491063","0.349","360.8","56.160180658","6.4","0.115","188.1","0.135","0.0546026062","15.292346658","16.56670888","0.1990493379","0.0535678234","9501.9","0.0002915005","3430.5263158","0.144","47539","0.3440766551","4.3","195540","0.1813490846","0.0937966656","0.0073744502","0.0088421806","0.0006597116","0.0457655723","0.8312161195","0.0156002957","0.5116753605","0.4227909911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5",6,"01","005","01005","AL","barbour_county","2015","1","8900.51","0.234","4.8","4.3","0.251","0.384","5","0.323","0.4414539097","0.135","0.4347826087","716.9","72.873799726","0.1752843063","0.0004411603","2266.75","0.0003693308","2707.6","0.0000369331","27076","86.93","0.8571428571","0.6179401993","0.4232832618","0.1004150334","0.424","5.4739856417","0.5582466314","8.4555714863","146.8885763","56.105273896","12.62","0.526365894","0.1856100104","0.8220015279","0.331","443.7","84.086609207","13.5","0.148","388.1","0.227","0.1142031572","","18.666390128","0.2283954986","0.0454621149","10413.95","0.0001107992","9025.3333333","0.169","30981","0.6967792616","","27076","0.1585906338","0.4714507313","0.0058723593","0.005244497","0.0018466539","0.0483453981","0.4633254543","0.0223085892","0.4651351751","0.677896347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6",7,"01","007","01007","AL","bibb_county","2015","1","10729.22","0.179","4.7","5.1","0.259","0.373","7.6","0.332","0.3943704997","0.112","0.3103448276","371.7","50.850850851","0.1510464581","0.000265522","3766.1666667","0.000177683","5628","","","70.85","0.8287461774","0.6172839506","0.5","0.0684977578","0.356","4.5137856924","0.3717642374","10.620878878","235.95211046","80.755591447","12.87","0","0.0955017301","0.8321223709","0.475","539.7","107.95956424","13.9","0.127","106.7","0.154","0.0214466099","18.932103167","25.873874329","0.1928368121","0.0420570062","10825.24","0.0000888415","11256","0.163","39781","0.5464820571","7.8","22512","0.1428571429","0.2201492537","0.0039534471","0.0015547264","0.0013326226","0.0207000711","0.7456467662","0.0042862467","0.4599324805","0.6835260746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7",8,"01","009","01009","AL","blount_county","2015","1","8668.52","0.242","5.9","3.9","0.213","0.309","8.5","0.298","0.2550853076","0.055","0.1803278689","160.8","47.239216294","0.1829576008","0.0002939854","3401.5294118","0.0001900746","5261.0909091","0.0000518385","19290.666667","84.79","0.8612244898","0.5989583333","0.4919427346","0.0560708424","0.266","3.9837506136","0.2762988407","8.6466295438","219.03434424","91.915284746","12.66","0","0.1183488428","0.8333038087","0.584","430.5","49.822064057","6.3","0.132","92.8","0.118","0.0106246765","18.298215799","25.56737002","0.2334516902","0.0587706562","10280.81","0.0000691181","14468","0.173","44392","0.442297967","4.3","57872","0.1640862593","0.0163809787","0.0060478297","0.0027820017","0.0011231684","0.0871060271","0.8783349461","0.0232256631","0.5055294443","0.8995150204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8",9,"01","011","01011","AL","bullock_county","2015","1","10743.52","0.23","4.2","","0.378","0.432","3.8","0.328","0.2343778633","","0.4166666667","964.3","84.596967279","0.1755190078","0.000381898","2618.5","0.0001879876","5319.5","0.0000939938","10639","68.39","0.7711442786","0.5168539326","0.357209592","0.1199082042","0.442","5.2633408919","0.6240796882","11.456940997","283.35085234","85.390755523","12.75","0.154976405","0.1343085106","0.8253177174","0.468","498.5","127.07825903","","0.176","409.1","0.241","0.2015173014","","54.191945226","0.2320610687","0.0411433521","9975.59","0.0005639628","1773.1666667","0.167","25937","0.8599871548","","10639","0.1461603534","0.6887865401","0.0078954789","0.0027258201","0.0077074913","0.0779208572","0.2221073409","0.0369524188","0.4517341855","0.5137438153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9",10,"01","013","01013","AL","butler_county","2015","1","10357.46","0.199","3.9","3.5","0.305","0.384","6","0.373","0.5006922232","0.109","0.2173913043","738.7","63.341425734","0.1660176143","0.0003447087","2901","0.0002467308","4053","0.0001480385","6755","116.92","0.860619469","0.6026785714","0.4436386241","0.0931466637","0.398","5.1004804169","0.5120901639","11.818584724","483.03787782","82.915541843","12.82","0.5026643651","0.1779975278","0.8820560499","0.329","528.1","50.748540979","","0.161","219.8","0.221","0.0283202911","8.9390699242","21.316243665","0.2160013252","0.0369447904","11377.53","0.0003454231","2895","0.185","31041","0.6935243211","8.2","20265","0.1774981495","0.4328151986","0.0035529238","0.0095731557","0.0004934616","0.0121885023","0.535356526","0.0023794744","0.5343202566","0.7123215735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10",11,"01","015","01015","AL","calhoun_county","2015","1","10538.61","0.227","5.2","5.1","0.244","0.315","6.4","0.332","0.5676803967","0.116","0.2253521127","684.6","49.328449328","0.1529282268","0.000639408","1563.9466667","0.0005225466","1913.704918","0.0008480674","1179.1515152","84.63","0.8055433348","0.5700660308","0.5131723005","0.0726640159","0.287","5.1644956471","0.395983327","14.749011049","504.5156397","77.888756529","12.89","0","0.145127926","0.8563223528","0.28","527.2","77.942322681","8.3","0.132","185.4","0.172","0.1004382389","12.059919527","17.541701131","0.1965109736","0.036874228","11404.65","0.0003426535","2918.4","0.184","37898","0.5299061873","12","116736","0.1554704633","0.2065515351","0.0050455729","0.0083350466","0.0009251645","0.0348307292","0.7314196135","0.0083489952","0.5168585526","0.3369682556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
