"","rowid","state_fips_code","county_fips_code","fips_code","state_abbreviation","county_name","release_year","county_ranked_yes_1_no_0","premature_death","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","adult_smoking","adult_obesity","food_environment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol_impaired_driving_deaths","sexually_transmitted_infections","teen_births","uninsured","primary_care_physicians","ratio_of_population_to_primary_care_physicians","dentists","ratio_of_population_to_dentists","mental_health_providers","ratio_of_population_to_mental_health_providers","preventable_hospital_stays","diabetes_monitoring","mammography_screening","some_college","unemployment","children_in_poverty","income_inequality","children_in_single_parent_households","social_associations","violent_crime","injury_deaths","air_pollution_particulate_matter","drinking_water_violations","severe_housing_problems","driving_alone_to_work","long_commute_driving_alone","premature_age_adjusted_mortality","child_mortality","infant_mortality","frequent_physical_distress","frequent_mental_distress","diabetes_prevalence","hiv_prevalence","food_insecurity","limited_access_to_healthy_foods","drug_overdose_deaths","drug_overdose_deaths_modeled","motor_vehicle_crash_deaths","insufficient_sleep","uninsured_adults","uninsured_children","health_care_costs","other_primary_care_providers","ratio_of_population_to_primary_care_providers_other_than_physicians","median_household_income","children_eligible_for_free_lunch","residential_segregation_black_white","residential_segregation_non_white_white","homicides","population","percent_65_and_older","percent_non_hispanic_african_american","percent_american_indian_and_alaskan_native","percent_asian","percent_native_hawaiian_other_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_not_proficient_in_english","percent_females","percent_rural","communicable_disease","coronary_heart_disease_hospitalizations","cerebrovascular_disease_hospitalizations","self_inflicted_injury_hospitalizations","smoking_during_pregnancy","drug_arrests","alcohol_related_hospitalizations","motor_vehicle_crash_occupancy_rate","on_road_motor_vehicle_crash_related_er_visits","off_road_motor_vehicle_crash_related_er_visits","no_recent_dental_visit","did_not_get_needed_health_care","childhood_immunizations","local_health_department_staffing","reading_proficiency","w_2_enrollment","poverty","older_adults_living_alone","hate_crimes","child_abuse","injury_hospitalizations","fall_fatalities_65","year_structure_built","male_population_0_17","male_population_18_44","male_population_45_64","male_population_65","total_male_population","female_population_0_17","female_population_18_44","female_population_45_64","female_population_65","total_female_population","population_growth"
"1",2,"00","000","00000","US","united_states","2016","","6605.3","","","","","","","","0.8392108682","","0.3090662845","","34.521376041","","","","","","","","53.76","0.8492494068","0.63","","","0.217","","","","392.04093974","59.644728435","","","","","","332.4","51.322192898","6.3871607717","0.118","0.116","","","","0.0565304686","13.967647706","14.7","11.593649127","0.348","","","9541.42","","","53657","0.43193338","","","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2",3,"01","000","01000","AL","alabama","2016","","9544.7","0.219","4.6","4.7","0.211","0.3359118585","6.6","0.2931867296","0.6280669058","0.133","0.2966930601","611.02985199","44.232452165","0.1587177168","0.0006376039","1568.3718365","0.0004538727","2203.2607905","0.0007438069","1344.4349875","65.43","0.8491381625","0.63","0.583515148","0.0680015329","0.274","5.23025474","0.3838541244","12.512097303","417.96887253","74.249382995","12.8","0.2835820896","0.1538631076","0.8530697696","0.326","461","72.784073101","8.9441429954","0.148","0.149","0.1236308375","298.01925047","0.188006261","0.0767522302","12.981621251","15.2","19.812979254","0.384","0.2015082401","0.0472704515","9950.36","0.000520273","1922.0677765","42917","0.5140490995","57.891753446","52.318827649","9","4849377","0.153407747","0.2636460312","0.0069641935","0.0133281038","0.0010494132","0.0413793359","0.6618658438","0.0131327124","0.5154084741","0.409631829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3",4,"01","001","01001","AL","autauga_county","2016","1","9215.1","0.194","4.4","4.3","0.187","0.309","7.1","0.287","0.708214986","0.151","0.3181818182","416.11125122","35.183521117","0.1342053547","0.0003982189","2511.1818182","0.0003249391","3077.5","0.0001263652","7913.5714286","62.38","0.8384401114","0.62","0.5647074961","0.0588304691","0.181","4.3034811068","0.2730629927","13.756652065","253.64461706","76.437850568","12.92","0","0.136192626","0.8923013586","0.417","456.4","50.488344156","7.054296708","0.129","0.128","0.109","205.40683806","0.139","0.097935304","7.8240197406","5","19.71531091","0.376","0.1748118055","0.038590719","10165.85","0.0001805217","5539.5","54366","0.3694555933","32.841979106","28.533966357","5.1","55395","0.1382976803","0.1849444896","0.004964347","0.010885459","0.0010109216","0.0273309866","0.7559707555","0.0048142921","0.5136203628","0.4200216232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4",5,"01","003","01003","AL","baldwin_county","2016","1","7454.6","0.16","4.1","4.2","0.186","0.267","7.6","0.252","0.721685458","0.151","0.3943661972","308.19225326","41.620561312","0.1748200251","0.0007517643","1330.2040816","0.0004797337","2084.4895833","0.0007795673","1282.7628205","49.28","0.84004693","0.66","0.6233591821","0.0605372021","0.198","4.4948004948","0.2822537442","12.018001432","220.66510634","70.181594877","13.13","1","0.1470790378","0.8407115202","0.368","356","51.342489411","5.9194691992","0.122","0.128","0.109","174.3248816","0.137","0.0546026062","16.028892932","10","15.900865896","0.328","0.2206832065","0.0571327574","9489.87","0.0003398114","2942.8088235","49626","0.3616030457","47.072107469","34.716464323","3.8","200111","0.1868213142","0.0939578534","0.0074358731","0.0090799606","0.000639645","0.0456246783","0.8300043476","0.0142989828","0.5122856814","0.4227909911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5",6,"01","005","01005","AL","barbour_county","2016","1","8499.9","0.257","4.9","4.7","0.214","0.408","5.1","0.329","0.4526714499","0.124","0.3913043478","632.32969376","67.9023347","0.1743989337","0.0003693308","2707.6","0.000371927","2688.7","0.0000743854","13443.5","60.85","0.9003831418","0.63","0.4335856848","0.1080927484","0.381","5.285566706","0.5448004112","8.1252769981","146.8885763","63.731594755","12.62","1","0.175596817","0.8351998243","0.351","430.8","59.795839918","12.959866221","0.154","0.149","0.153","399.42690922","0.223","0.1142031572","","3","18.222048679","0.396","0.2251259899","0.0513422819","10077.19","0.0001859635","5377.4","34971","","30.788533855","25.656453522","4.5","26887","0.1648752185","0.4719381114","0.0059136386","0.0049094358","0.0017480567","0.0453378956","0.4658385093","0.02150664","0.4661360509","0.677896347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6",7,"01","007","01007","AL","bibb_county","2016","1","11007.7","0.22","4.8","4.6","0.21","0.401","7.4","0.332","0.3283875191","0.138","0.34375","367.30539452","48.393739703","0.1495413909","0.000355366","2814","0.0001777304","5626.5","","","73.81","0.8383233533","0.59","0.4892787524","0.0713785047","0.268","4.2513612624","0.3204522097","9.7725657427","235.95211046","74.737758395","12.87","0","0.1299932295","0.8403447832","0.457","541.7","110.63059439","14.021312395","0.148","0.143","0.125","124.83745124","0.162","0.0214466099","14.789617688","8","23.918325214","0.406","0.1901122522","0.0424537883","10674.38","0.0002665956","3751","39546","0.5496402878","40.559759652","40.008624704","7.4","22506","0.1478716787","0.2190971297","0.0042210966","0.0022216298","0.0012885453","0.0210610504","0.745223496","0.0052109989","0.4593441749","0.6835260746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7",8,"01","009","01009","AL","blount_county","2016","1","8655.9","0.207","4.6","4.5","0.194","0.324","8.3","0.285","0.2550853076","0.141","0.1923076923","159.09798361","45.347928069","0.1760695132","0.0002591927","3858.1333333","0.0001905785","5247.1818182","0.000051976","19239.666667","62.87","0.8620689655","0.61","0.4914993353","0.0614690826","0.241","4.1241856269","0.2826118326","8.4669615704","219.03434424","88.529985627","12.66","0","0.1233951498","0.8507307831","0.59","430.3","51.898779484","6.0496067756","0.139","0.138","0.117","93.726568358","0.121","0.0106246765","24.219078868","8","24.667794575","0.362","0.2229338124","0.0603689212","10092.8","0.0000866266","11543.8","45567","0.4500305935","62.466447769","34.353060185","3.3","57719","0.1700133405","0.016372425","0.0062890902","0.0029106533","0.001143471","0.0873542508","0.8775619813","0.0176503238","0.5053102098","0.8995150204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8",9,"01","011","01011","AL","bullock_county","2016","1","10262.1","0.293","5.3","4.8","0.223","0.445","3.9","0.331","0.231995602","0.113","0.44","992.93488639","83.473154362","0.1852198316","0.0003759752","2659.75","0.0001858045","5382","0.0000929023","10764","70.25","0.8829787234","0.6","0.3450704225","0.0908313742","0.431","5.767400807","0.7253613666","10.339317605","283.35085234","89.625812234","12.75","0","0.1537433155","0.7771653543","0.471","469.4","152.20700152","","0.17","0.155","0.173","368.30357143","0.237","0.2015173014","","4","47.669491525","0.441","0.242384106","0.0494411006","9293.84","0.0005574136","1794","26580","","16.080357751","15.199695847","","10764","0.1486436269","0.6911928651","0.008361204","0.0025083612","0.0073392791","0.0746005203","0.2212002973","0.0257360304","0.4525269417","0.5137438153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9",10,"01","013","01013","AL","butler_county","2016","1","11155.1","0.274","5.3","5.1","0.228","0.36","6","0.344","0.4600658806","0.105","0.3103448276","773.13241739","56.616643929","0.1552918499","0.0003947693","2533.125","0.000246354","4059.2","0.0001970832","5074","106.01","0.8106995885","0.62","0.4369922933","0.0857019345","0.367","5.0366626433","0.5234717296","11.349617567","483.03787782","79.583834776","12.82","1","0.1858895706","0.8642474873","0.35","538.2","51.660897866","","0.172","0.164","0.162","241.95928002","0.223","0.0283202911","","5","19.326472436","0.406","0.2006865372","0.0407497963","10754.38","0.0003941663","2537","32512","0.7081664099","33.809225328","33.404155773","10.2","20296","0.179542767","0.4369333859","0.0036953094","0.0094599921","0.0004434371","0.0119728025","0.5309913283","0.0042597403","0.535819866","0.7123215735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10",11,"01","015","01015","AL","calhoun_county","2016","1","10352","0.223","4.9","4.9","0.238","0.32","6.2","0.336","0.5928549742","0.129","0.25","680.33010503","47.237422771","0.1595774545","0.000633909","1577.5135135","0.0005348701","1869.6129032","0.0008799475","1136.4313725","77.25","0.8101001669","0.56","0.5373339284","0.0791918847","0.281","5.1055860923","0.4004363803","14.220120614","504.5156397","72.694662038","12.89","0","0.1453075494","0.8545029549","0.288","520.7","62.883637114","7.976366322","0.15","0.148","0.126","201.95459574","0.178","0.1004382389","9.4299724531","6","17.391325499","0.39","0.203831201","0.0391856556","11040.74","0.0003537044","2827.2195122","41123","0.5355850422","51.429307463","47.035817701","10.8","115916","0.1595897029","0.2079436834","0.0051934159","0.0087822216","0.0009662169","0.0352841713","0.7285448083","0.0082972125","0.5179267746","0.3369682556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
