"","rowid","state_fips_code","county_fips_code","fips_code","state_abbreviation","county_name","release_year","county_ranked_yes_1_no_0","premature_death","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","adult_smoking","adult_obesity","food_environment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol_impaired_driving_deaths","sexually_transmitted_infections","teen_births","uninsured","primary_care_physicians","ratio_of_population_to_primary_care_physicians","dentists","ratio_of_population_to_dentists","mental_health_providers","ratio_of_population_to_mental_health_providers","preventable_hospital_stays","diabetes_monitoring","mammography_screening","some_college","unemployment","children_in_poverty","income_inequality","children_in_single_parent_households","social_associations","violent_crime","injury_deaths","air_pollution_particulate_matter","drinking_water_violations","severe_housing_problems","driving_alone_to_work","long_commute_driving_alone","premature_age_adjusted_mortality","child_mortality","infant_mortality","frequent_physical_distress","frequent_mental_distress","diabetes_prevalence","hiv_prevalence","food_insecurity","limited_access_to_healthy_foods","drug_overdose_deaths","motor_vehicle_crash_deaths","insufficient_sleep","uninsured_adults","uninsured_children","health_care_costs","other_primary_care_providers","ratio_of_population_to_primary_care_providers_other_than_physicians","disconnected_youth","median_household_income","children_eligible_for_free_or_reduced_price_lunch","residential_segregation_black_white","residential_segregation_non_white_white","homicides","firearm_fatalities","population","percent_65_and_older","percent_non_hispanic_african_american","percent_american_indian_and_alaskan_native","percent_asian","percent_native_hawaiian_other_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_not_proficient_in_english","percent_females","percent_rural","communicable_disease","coronary_heart_disease_hospitalizations","cerebrovascular_disease_hospitalizations","self_inflicted_injury_hospitalizations","cancer_incidence","smoking_during_pregnancy","drug_arrests","alcohol_related_hospitalizations","motor_vehicle_crash_occupancy_rate","on_road_motor_vehicle_crash_related_er_visits","off_road_motor_vehicle_crash_related_er_visits","no_recent_dental_visit","did_not_get_needed_health_care","childhood_immunizations","local_health_department_staffing","reading_proficiency","w_2_enrollment","poverty","older_adults_living_alone","hate_crimes","child_abuse","injury_hospitalizations","fall_fatalities_65","year_structure_built","male_population_0_17","male_population_18_44","male_population_45_64","male_population_65","total_male_population","female_population_0_17","female_population_18_44","female_population_45_64","female_population_65","total_female_population","population_growth"
"1",2,"00","000","00000","US","united_states","2017","","6601.2","","","","","0.2770631437","","0.2226567097","0.8392108682","","0.3005991112","456.1","32.079571079","0.1353974258","0.0007565365","1321.8132962","0.0006559417","1524.5257836","0.0019982246","500.44423892","49.9","0.8516254509","0.6305847461","0.6419716655","0.0528002092","0.207","4.9540475433","0.3365058311","9.367677283","379.85448908","62.238533277","","","","0.764047203","0.343","333.3","50.398806538","6.2843505935","","","0.0992782441","353.2","0.154","0.0565304686","14.997939444","10.948755935","0.348","0.163747132","0.0627784555","9588.57","0.0007395864","1352.1070012","0.138","55775","0.5179452044","","","5.2","10.7","321418820","0.1485938253","0.124217832","0.0124786875","0.055946304","0.0023651073","0.1760718087","0.6159278788","0.0453218338","0.5077161412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2",3,"01","000","01000","AL","alabama","2017","","9573.2","0.2122537792","4.4613535734","4.4268165634","0.2140494681","0.3404080629","6.5","0.2768450452","0.6280669058","0.1296529602","0.2943237561","600.2","41.415000858","0.1416138376","0.0006444127","1551.80064","0.0004577093","2184.7927158","0.0007948172","1258.1509581","61.13","0.8496025604","0.6278845562","0.5898650454","0.0610268241","0.265","5.244407094","0.3819709176","12.428400597","436.02528817","75.599454641","10.1","0.2835820896","0.1544174233","0.854488061","0.33","463.5","72.454088799","8.8910911454","0.1435986408","0.1420273241","0.1371961529","297.4","0.188","0.0767522302","14.145158622","18.415930329","0.384","0.180599533","0.0397803154","9961.85","0.0005914823","1690.6677105","0.1792094144","44833","0.5176930163","57.255162703","51.582550182","8.5","17.6","4858979","0.1572680187","0.2645117421","0.0069932387","0.0138292427","0.0010428117","0.0418452107","0.6595177711","0.0123023235","0.5157040193","0.409631829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3",4,"01","001","01001","AL","autauga_county","2017","1","9158.2","0.1787881413","4.2240305575","4.1818400188","0.1738023938","0.341","6.9","0.286","0.708214986","0.1495412249","0.3265306122","398.2","32.41877763","0.1101623445","0.0004151999","2408.4782609","0.0003071531","3255.7058824","0.0001264748","7906.7142857","58.59","0.8396624473","0.6269315673","0.5967451524","0.052434013","0.188","4.3135492399","0.251656106","13.719649788","265.6997471","76.236861787","10.8","0","0.1472346786","0.8748341625","0.426","468.4","55.301841016","6.908462867","0.1231248526","0.1256879348","0.13","205","0.144","0.097935304","9.6392510302","18.937674298","0.376","0.1421476789","0.0346987952","9858.62","0.0002348817","4257.4615385","0.1225","56580","0.4890269151","33.866697968","30.499683442","3.6","16.3","55347","0.1431152547","0.1895857047","0.0048241097","0.0119970369","0.0009937305","0.0284206913","0.7490740239","0.0065026261","0.5147523804","0.4200216232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4",5,"01","003","01003","AL","baldwin_county","2017","1","7393.9","0.1636197265","3.736320366","3.9660892942","0.179371199","0.274","7.5","0.223","0.721685458","0.153780314","0.3422818792","341.1","38.019407813","0.1613299188","0.0007395895","1352.1013514","0.0004761694","2100.0927835","0.0008345238","1198.2882353","47.61","0.8321223709","0.659652333","0.6288766441","0.0548696688","0.196","4.5247677317","0.267836554","11.543593306","216.77307832","71.452920408","9.6","1","0.1470287235","0.846527975","0.377","361.3","47.728357463","6.2794348509","0.1162799691","0.1248073144","0.104","169","0.137","0.0546026062","17.18499733","15.31521705","0.328","0.2045904166","0.0491099636","9412.78","0.0003730812","2680.3815789","0.1593","52387","0.4183880246","43.480907093","31.900031553","3.1","15.7","203709","0.1917539235","0.093702291","0.0073879897","0.009361393","0.0006038025","0.0454962716","0.8295951578","0.0116938476","0.5126086722","0.4227909911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5",6,"01","005","01005","AL","barbour_county","2017","1","8573.1","0.2502040126","4.8060566405","4.7680781875","0.2277668861","0.444","4.9","0.318","0.4526714499","0.1192345003","0.3846153846","613.1","59.021292492","0.1534209428","0.0004091196","2444.2727273","0.0003775152","2648.9","0.000075503","13244.5","73.5","0.8914285714","0.6303030303","0.3926694329","0.0893913043","0.452","5.5625097916","0.5645556333","8.182392978","328.65907099","67.521443623","10.1","1","0.1619565217","0.8376654064","0.355","439.5","65.780818313","12.053571429","0.1556197999","0.1510871039","0.184","399.9","0.233","0.1142031572","","18.958743667","0.396","0.1988075961","0.0449667859","10117.09","0.0002642606","3784.1428571","0.3039","31433","0.6736814065","24.998687326","21.143956179","6.8","13.4","26489","0.1716184076","0.4729887878","0.0057759825","0.0044546793","0.0018498245","0.0442447809","0.4658537506","0.0175597109","0.4658915021","0.677896347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6",7,"01","007","01007","AL","bibb_county","2017","1","11766.1","0.195402311","4.3543896681","4.3680624999","0.1985076584","0.403","7.3","0.339","0.3283875191","0.1430965174","0.3333333333","444.2","47.497879559","0.1356417144","0.0003998934","2500.6666667","0.0001771244","5645.75","","","77.35","0.8198198198","0.6130653266","0.5022201807","0.0660777385","0.293","4.2728714387","0.2956967213","10.219497023","147.29089953","81.441875288","10.5","0","0.1368124118","0.8318605793","0.465","521","104.7833604","11.797752809","0.132117057","0.133375711","0.148","120","0.164","0.0214466099","14.792680582","22.03752676","0.406","0.1717252396","0.0395445135","10817.25","0.0004870921","2053","0.2519","40767","0.6344950849","42.011380792","41.251287555","8.2","21.2","22583","0.150201479","0.2205198601","0.0042509853","0.002302617","0.001372714","0.0240889164","0.7405570562","0.0035396581","0.4610990568","0.6835260746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7",8,"01","009","01009","AL","blount_county","2017","1","9332.8","0.1894760806","4.4515731419","4.4838318637","0.2103738153","0.346","8.3","0.28","0.2550853076","0.1390288774","0.2040816327","124.4","43.2304038","0.1647524835","0.0001905785","5247.1818182","0.0001907305","5243","0.0000693565","14418.25","63.02","0.8765957447","0.5958429561","0.5121367762","0.0540407359","0.222","4.0371391267","0.2738121385","8.4894055684","211.59883621","96.617688309","11.3","0","0.1153481762","0.8486671224","0.598","445.4","43.877289846","6.3602790316","0.1325861944","0.1347137314","0.141","95.5","0.122","0.0106246765","20.777541786","20.821456015","0.362","0.2081461166","0.0565343522","10035.61","0.0000866957","11534.6","0.1286","50487","0.5307828996","50.276375163","31.923110484","5.7","17.7","57673","0.1752986666","0.0171137274","0.0065368543","0.0028436183","0.0011097047","0.0895392992","0.8739444801","0.0169482138","0.505921315","0.8995150204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8",9,"01","011","01011","AL","bullock_county","2017","1","10857.7","0.2825794509","4.9558586482","4.5660296529","0.2277492503","0.43","3.8","0.317","0.231995602","0.1138095356","0.619047619","939.9","77.782744747","0.1730971129","0.0002787068","3588","0.0001869858","5348","0.0000934929","10696","76.3","0.858490566","0.6","0.3362154972","0.0777288917","0.512","6.0433421851","0.732735426","10.21924935","302.28603816","101.66619599","9.8","0","0.1804812834","0.7494802495","0.471","546.6","111.3833816","","0.1580292858","0.1470543241","0.196","361.8","0.244","0.2015173014","","46.656713235","0.441","0.2278575424","0.0448637317","9275.93","0.0006544503","1528","","28251","0.6385780118","27.773559693","25.717856456","","","10696","0.1528608826","0.6893231114","0.0084143605","0.0023373224","0.0070119671","0.0752617801","0.2230740464","0.0305908228","0.4524121167","0.5137438153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9",10,"01","013","01013","AL","butler_county","2017","1","12427.4","0.2662129034","5.2420308431","4.9779910075","0.2183234745","0.363","6","0.344","0.4600658806","0.1137748841","0.3666666667","804.3","55.802007938","0.1439681678","0.0004434371","2255.1111111","0.0002480897","4030.8","0.0002480897","4030.8","86.37","0.8070500928","0.6236162362","0.4327302974","0.0754758259","0.36","4.8700983887","0.5160331281","11.824990146","523.43993568","91.470611378","9.4","1","0.1645415908","0.8449121901","0.33","560.2","100.3220867","","0.1605738909","0.1552981365","0.177","250.4","0.226","0.0283202911","","20.211031041","0.406","0.1866004545","0.0377930477","10407.71","0.0004961794","2015.4","0.2295","33868","0.7116891257","34.822745989","33.791628748","13.2","26.6","20154","0.1837848566","0.4397638186","0.0035228739","0.0099235884","0.0004961794","0.0117098343","0.5278852833","0.0048663074","0.5350302669","0.7123215735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10",11,"01","015","01015","AL","calhoun_county","2017","1","10716.9","0.2200320457","4.9084565308","4.6655153388","0.2032038238","0.322","6.1","0.313","0.5928549742","0.1466247273","0.2166666667","723.9","44.629755556","0.1421583549","0.0006642741","1505.4025974","0.0005535375","1806.5625","0.0008908493","1122.5242718","71","0.8127009646","0.568954458","0.5397856896","0.0697921869","0.307","4.878978557","0.3960445855","14.66579247","574.32355552","76.967250349","11.6","0","0.148799646","0.8526106929","0.299","550.4","70.322133169","7.9086995695","0.1443921055","0.1415397562","0.149","198","0.182","0.1004382389","13.208067258","15.48214068","0.39","0.1817208446","0.0341970872","10672.9","0.0004238021","2359.5918367","0.2045","42091","0.6072952593","49.884593092","45.35005641","9.3","21.1","115620","0.1634665283","0.2086663207","0.0052845528","0.0088565992","0.0009427435","0.0361442657","0.7261546445","0.0080486561","0.5177737416","0.3369682556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
