"","rowid","state_fips_code","county_fips_code","fips_code","state_abbreviation","county_name","release_year","county_ranked_yes_1_no_0","premature_death","premature_death_white","premature_death_black","premature_death_hispanic","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","adult_smoking","adult_obesity","food_environment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol_impaired_driving_deaths","sexually_transmitted_infections","teen_births","teen_births_white","teen_births_black","teen_births_hispanic","uninsured","primary_care_physicians","ratio_of_population_to_primary_care_physicians","dentists","ratio_of_population_to_dentists","mental_health_providers","ratio_of_population_to_mental_health_providers","preventable_hospital_stays","diabetes_monitoring","diabetes_monitoring_white","diabetes_monitoring_black","mammography_screening","mammography_screening_white","mammography_screening_black","some_college","unemployment","children_in_poverty","children_in_poverty_white","children_in_poverty_black","children_in_poverty_hispanic","income_inequality","children_in_single_parent_households","social_associations","violent_crime","injury_deaths","air_pollution_particulate_matter","drinking_water_violations","severe_housing_problems","driving_alone_to_work","driving_alone_to_work_white","driving_alone_to_work_black","driving_alone_to_work_hispanic","long_commute_driving_alone","premature_age_adjusted_mortality","premature_age_adjusted_mortality_white","premature_age_adjusted_mortality_black","premature_age_adjusted_mortality_hispanic","child_mortality","child_mortality_white","child_mortality_black","child_mortality_hispanic","infant_mortality","infant_mortality_white","infant_mortality_black","infant_mortality_hispanic","frequent_physical_distress","frequent_mental_distress","diabetes_prevalence","hiv_prevalence","food_insecurity","limited_access_to_healthy_foods","drug_overdose_deaths","drug_overdose_deaths_modeled","motor_vehicle_crash_deaths","insufficient_sleep","uninsured_adults","uninsured_children","health_care_costs","other_primary_care_providers","ratio_of_population_to_primary_care_providers_other_than_physicians","disconnected_youth","median_household_income","median_household_income_white","median_household_income_black","median_household_income_hispanic","children_eligible_for_free_or_reduced_price_lunch","residential_segregation_black_white","residential_segregation_non_white_white","homicides","firearm_fatalities","population","percent_65_and_older","percent_non_hispanic_african_american","percent_american_indian_and_alaskan_native","percent_asian","percent_native_hawaiian_other_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_not_proficient_in_english","percent_females","percent_rural","communicable_disease","self_inflicted_injury_hospitalizations","cancer_incidence","smoking_during_pregnancy","drug_arrests","motor_vehicle_crash_occupancy_rate","on_road_motor_vehicle_crash_related_er_visits","off_road_motor_vehicle_crash_related_er_visits","no_recent_dental_visit","did_not_get_needed_health_care","childhood_immunizations","reading_proficiency","w_2_enrollment","poverty","older_adults_living_alone","hate_crimes","child_abuse","injury_hospitalizations","fall_fatalities_65","year_structure_built","male_population_0_17","male_population_18_44","male_population_45_64","male_population_65","total_male_population","female_population_0_17","female_population_18_44","female_population_45_64","female_population_65","total_female_population","population_growth"
"1",2,"00","000","00000","US","united_states","2018","","6658.1139453","","","","","","","","0.28","7.7","0.23","0.8309343567","","0.29279146","478.8","26.950264847","","","","0.1092169375","0.0007548033","1324.8483974","0.000673604","1484.551654","0.0021424669","466.7516691","49.45","0.8516254509","0.855563309","0.8238397752","0.6305847461","0.6321594589","0.6135117903","0.6473941254","0.048690359","0.195","","","","4.9602801667","0.3356424012","9.2945397535","379.85448908","64.582096094","","","0.1876221219","0.7640731322","","","","0.347","336.4","","","","50.441000724","","","","5.9689237638","","","","","","0.1","362.3","0.134","0.0590124246","16.928630505","19.7851","11.060430044","","0.1320808199","0.0504799289","9728.93","0.000812184","1231.2480729","","57617","","","","0.5229995539","","","5.2659615657","11.026226835","323127513","0.1523986446","0.1244995687","0.0125481392","0.05669131","0.002387525","0.1778563715","0.6126671361","0.044862396","0.5076899472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2",3,"01","000","01000","AL","alabama","2018","","9642.4120328","","","","0.2140240566","4.4004575204","4.577366748","0.215381544","0.347","5.6","0.29","0.6281895067","0.1417814586","0.2589245368","543.6","35.553834999","","","","0.1189813381","0.0006515772","1534.7375237","0.0004675837","2138.6543536","0.0008440771","1184.725944","62.02","0.8496025604","0.8534148448","0.8365043347","0.6278845562","0.6283203416","0.6258117842","0.5958281283","0.059870092","0.247","","","","5.2657744875","0.3808951569","12.270067436","436.02528817","76.991337205","10.1","0.0746268657","0.1545700056","0.857281392","","","","0.334","468.7","","","","72.793164457","","","","8.6818473769","","","","0.1401604896","0.1454883116","0.137","302.4","0.177","0.0792142495","15.200743141","16.2075","19.115715801","0.3772095459","0.1525231921","0.0309004993","10260.56","0.0006738223","1484.0707965","0.1710281799","46309","","","","0.510895535","57.20440843","51.550232807","8.8346964409","18.615286056","4863300","0.1613207082","0.2648989369","0.0069771554","0.0141599326","0.0010420908","0.0419149549","0.6583877203","0.0113796235","0.5156404088","0.409631829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3",4,"01","001","01001","AL","autauga_county","2018","1","9409.2947663","9148.3817434","11806.223285","","0.1841112436","4.2005779826","4.3067392835","0.191246585","0.364","7.1","0.309","0.7112019204","0.1687801512","0.2678571429","341.2","27.99675827","27.153838475","31.533042603","38.461538462","0.0938771186","0.0004516957","2213.88","0.0003248159","3078.6666667","0.0001263173","7916.5714286","81.85","0.8396624473","0.858096828","0.7410714286","0.6269315673","0.6320987654","0.5833333333","0.6194201886","0.0527116067","0.193","0.1440024356","0.2807215333","0.1669941061","4.3883461572","0.2447140885","13.912226498","265.6997471","72.584664052","10.8","0","0.1521792662","0.8675006172","0.8253968254","0.8249485143","","0.408","449.6","444.9","531.7","","56.186903014","","","","7.7185017026","","","","0.1282443447","0.1263835707","0.124","225.5","0.139","0.11991125","10.231225701","5","20.167754346","0.3590540606","0.1219309197","0.0259531305","10674.34","0.0002887253","3463.5","0.1457","54487","58556","32173","72411","0.4847538766","26.3470479","24.000912313","3.6198533442","16.972533385","55416","0.1472859824","0.1904865021","0.0048541937","0.0114046485","0.0010105385","0.0268875415","0.75","0.0083273898","0.5128843655","0.4200216232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4",5,"01","003","01003","AL","baldwin_county","2018","1","7467.5966638","7484.1170653","10335.702691","2827.3482155","0.1806045782","4.0987477691","4.2496487805","0.1679548515","0.293","7.9","0.245","0.6851891477","0.1671496869","0.3037974684","338.8","31.965137793","29.475711268","38.553803975","57.609217475","0.1152439661","0.0007265266","1376.4121622","0.0004938556","2024.8834951","0.0008918169","1121.3064516","46.3","0.8321223709","0.8325901905","0.8243243243","0.659652333","0.6597255088","0.6575342466","0.6375709972","0.0541526281","0.176","0.1509889193","0.4133224689","0.1029089772","4.6007352282","0.2581144092","11.045167371","216.77307832","71.492010217","9.6","0","0.1431015604","0.8464604333","0.8464625497","0.8556701031","0.6886479976","0.401","351.3","349.3","517.8","111.1","47.688777428","44.472179782","87.008288684","","5.5454070981","5.1573426573","10.978520286","","0.1262200157","0.1282255819","0.111","163.9","0.13","0.054244266","18.452504397","10","15.281184767","0.3330586814","0.1471986088","0.0327343851","9537.12","0.000436319","2291.9010989","0.1541","56460","54184","26818","41908","0.4579548026","43.96994085","30.674915164","2.7052815138","14.71894328","208563","0.1970819369","0.0904283118","0.0077099006","0.0107497495","0.0005945446","0.0441641135","0.832021979","0.0081880922","0.5145783289","0.4227909911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5",6,"01","005","01005","AL","barbour_county","2018","1","8929.4749816","8896.0005318","9141.333085","","0.2577341563","5.0674383044","4.634994147","0.2154087757","0.442","5.5","0.306","0.5284262665","0.1269871542","0.3571428571","557.9","50.189205338","45.385007649","51.236116087","81.896551724","0.1331045208","0.0004152667","2408.0909091","0.0003466205","2885","0.0000770268","12982.5","58.44","0.8914285714","0.8873720137","0.8965517241","0.6303030303","0.6839622642","0.5338983051","0.3972366149","0.0864851843","0.396","0.105894627","0.659807074","0.6481069042","5.8616600791","0.5630148992","7.9278190947","328.65907099","66.607792363","10.1","0","0.1525423729","0.8278492542","0.8565622759","0.803412274","","0.351","433.6","394.7","477","","66.595631327","","","","","","","","0.1621615961","0.1463231059","0.182","436","0.234","0.1073966657","","4","18.597829899","0.3856316713","0.1740155086","0.0363415058","9790.62","0.0002695937","3709.2857143","0.3068","32884","46673","21546","25850","0.6630261055","25.589449742","22.356765237","8.5018650967","14.219641066","25965","0.1801656075","0.475139611","0.0063161949","0.0045060659","0.0017331023","0.0421336414","0.4645099172","0.0151936998","0.4693240901","0.677896347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6",7,"01","007","01007","AL","bibb_county","2018","1","11741.938889","11923.067966","11297.166352","","0.1999691186","4.3633772783","4.3157100192","0.1991640424","0.384","7.6","0.375","0.4859262492","0.1592515079","0.275862069","302.1","47.260273973","51.00510051","35.416666667","","0.1185588115","0.0005313732","1881.9166667","0.0002208188","4528.6","0.0000883275","11321.5","92.87","0.8198198198","0.8345070423","0.7346938776","0.6130653266","0.6428571429","0.4516129032","0.4982137057","0.0663711653","0.275","0.2024930748","0.4792368126","","4.2281268195","0.314279643","10.627463136","147.29089953","95.709892681","10.5","0","0.1235875706","0.8507246377","","","","0.488","529.1","526.6","630.4","","116.31595643","","","","14.775413712","","","","0.1316296828","0.1285403606","0.146","191.9","0.161","0.0260162701","22.146105238","8","27.125572476","0.381488654","0.1507056854","0.0314125234","10755.78","0.0007507839","1331.9411765","0.2513","43079","42020","28256","45909","0.6131848284","43.487327897","42.1680096","8.2007544694","21.26886504","22643","0.1543081747","0.2161816014","0.0037980833","0.0019873692","0.0011924215","0.0249966877","0.7441593428","0.0044813743","0.4636311443","0.6835260746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7",8,"01","009","01009","AL","blount_county","2018","1","9359.1223433","9600.7256848","","5133.1445704","0.2109532316","4.5127526482","4.7015992588","0.1965215818","0.358","8.5","0.29","0.3227207704","0.1537872189","0.2","114.3","39.624777616","40.335653666","46.875","37.237643873","0.1396365941","0.0002080696","4806.0833333","0.000190628","5245.8181818","0.0000866491","11540.8","57.82","0.8765957447","","","0.5958429561","","","0.5386645741","0.0552089704","0.194","0.2093692022","0.1506849315","0.5710735586","4.0682368906","0.2729423944","8.8429594438","211.59883621","104.57280968","11.3","0","0.1105803678","0.8610772834","0.8158099688","","0.7953964194","0.602","480.2","","","","55.375073833","","","","5.2943667937","","","","0.1372005681","0.138279427","0.144","95.4","0.113","0.0288014982","21.375421731","8","22.53629954","0.3594501042","0.1769911504","0.0448953162","10326.33","0.0001213087","8243.4285714","0.1535","47213","48045","37647","34375","0.545201669","39.938703301","24.226299014","6.1912910823","19.044716996","57704","0.1798662138","0.0143490919","0.0062733953","0.0026514626","0.0011264384","0.0906869541","0.8746707334","0.0187850605","0.5061347567","0.8995150204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8",9,"01","011","01011","AL","bullock_county","2018","1","12343.052871","11157.774028","14093.98911","","0.2940771388","5.2266193898","4.7919184772","0.2347829118","0.402","4.5","0.298","0.2219168041","0.1289631731","0.6666666667","733.9","65.835411471","42.307692308","66.339066339","113.04347826","0.1450443191","0.0002804787","3565.3333333","0.0001930129","5181","0.0000965065","10362","67.02","0.858490566","0.8775510204","0.8527607362","0.6","0.5714285714","0.6097560976","0.3371607516","0.0717106631","0.457","","","","6.0466439135","0.7192595857","9.349289454","302.28603816","109.56833853","9.8","0","0.1802403204","0.7644657863","0.7910284464","0.7603167987","","0.377","581.5","437.5","658.9","","133.92857143","","","","","","","","0.1663247935","0.1484005471","0.195","691.3","0.244","0.1974335074","","5","48.39295076","0.4502063587","0.191509434","0.0321302817","10314.38","0.0007720517","1295.25","0.3963","34278","52036","24411","","0.6717607973","19.765668547","19.113122955","","","10362","0.1625168886","0.6927234125","0.0090716078","0.0026056746","0.0073344914","0.077880718","0.2153059255","0.0095756476","0.4595637908","0.5137438153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9",10,"01","013","01013","AL","butler_county","2018","1","12779.304852","11225.621494","15168.192828","","0.265026132","5.1174326174","5.1345730819","0.2219765552","0.36","6.5","0.339","0.4604000573","0.1304281127","0.275","827.7","43.457723193","46.754675468","41.486603284","","0.1224264706","0.0003473256","2879.1428571","0.00030003","3333","0.000250025","3999.6","93.13","0.8070500928","0.8152492669","0.7929292929","0.6236162362","0.6451612903","0.5764705882","0.4222176676","0.0712877792","0.366","0.2069956876","0.5353159851","","5.05293385","0.5090444775","10.915947207","523.43993568","97.010492972","9.4","0","0.1483949122","0.850864647","0.8797169811","0.8914427157","","0.317","602.7","530.2","731.4","","100.23211648","","","","","","","","0.1619792823","0.1547420506","0.175","268.4","0.22","0.0292612193","","5","21.035360441","0.419110839","0.1603967168","0.0275041051","10176.13","0.000550055","1818","0.2067","35409","44208","23904","","0.7263157895","30.056623638","29.094626128","16.127109671","30.686992675","19998","0.1902190219","0.4410441044","0.00380038","0.0107510751","0.00050005","0.0131013101","0.5221522152","0.0087038591","0.5338533853","0.7123215735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10",11,"01","015","01015","AL","calhoun_county","2018","1","11527.781204","11429.712785","13353.368133","5819.3279889","0.1958470142","4.2904480661","4.4765721664","0.2046223175","0.361","6.8","0.325","0.4821711703","0.1543167701","0.2285714286","587.5","39.711727776","38.125317241","44.082354427","39.513677812","0.1139686808","0.0006486767","1541.6","0.0006020365","1661.0289855","0.0009423179","1061.212963","72.8","0.8127009646","0.8178727538","0.7878787879","0.568954458","0.5648351648","0.5979381443","0.5674352386","0.0669738394","0.257","0.1753647073","0.5983126722","0.2984658298","4.8616092496","0.3838057319","14.01141671","574.32355552","74.115057594","11.6","0","0.15292172","0.8498591611","0.8757420091","0.858719906","0.8329145729","0.294","564.3","566.3","627.7","288.5","77.28958156","61.33267133","130.52825553","","8.7597478902","6.3107624083","15.642458101","","0.1302095258","0.138065685","0.163","211.2","0.174","0.0917856658","15.600308539","6","17.022881692","0.4131434398","0.1451450298","0.0289184061","10901.19","0.0005060596","1976.0517241","0.1907","41778","47514","26523","31331","0.5886834115","46.984796215","41.778342224","9.1850081073","22.234517278","114611","0.1688057865","0.2073448447","0.0052001989","0.009196325","0.0009859438","0.0357731806","0.7262391917","0.0070962196","0.5189117973","0.3369682556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
